"year","state_code","population","fte","expenditures","expenditures_infl","expenditures_infl_per_capita","fte_per_100000"
2003,"WA",6104115,,336884625,538697451.984733,88.2515240923103,
2004,"WA",6178645,,359256152,549172999.299765,88.8824328472934,
2005,"WA",6257305,,327639610,474167678.871987,75.7782589904099,
2006,"WA",6370753,,357148779,492098797.20808,77.2434274579598,
2007,"WA",6461587,,369152894,482575689.282425,74.6837718477559,
2008,"WA",6562231,,385221372,479506090.352687,73.0705899186857,
2009,"WA",6667426,,383349548,479819964.846341,71.9647979364662,
2010,"WA",6742830,,371819470,452503615.519758,67.1088571890079,
2011,"WA",6826627,,365706188,431084227.707016,63.1474705893578,
2012,"WA",6897058,,357902403.26,412346516.843911,59.7858560626736,
2013,"WA",6963985,2923.92,375290726.78,418652341.848559,60.1167782309352,41.9863052548218
2014,"WA",7054655,2696.08,407304749.54,444189453.39583,62.9640221096326,38.2170354184577
2015,"WA",7163657,2792.62,366854113.88,399954542.316138,55.8310570028881,38.9831618124653
2016,"WA",7294771,2874.765,402671859.22,438269977.936163,60.0800186786074,39.4085708790584
2017,"WA",7423362,2853.811,417215752,442084237.42469,59.5531024116418,38.4436458844389
2018,"WA",7523869,2947.9,445416777,455054071.149966,60.4813921069022,39.1806396416525
